source,external_id,name,name_lang,name_en,synonyms,serving_amount,serving_unit,carbs_g,protein_g,fats_g,kcal,dataset_version
cofid,18-021,"Beef, fillet steak, grilled, lean and fat",en,,Calculated from 97% lean and 3% fat MAC,100,g,0,28.7,9.5,200,cofid-2021
cofid,18-022,"Beef, fillet steak, from steakhouse, lean",en,,7 samples MAC,100,g,0,28.7,7,178,cofid-2021
cofid,18-023,"Beef, fillet steak, from steakhouse, lean and fat",en,,"Calculated from 85% lean and 14% fat, including grilled and char-grilled MAC",100,g,0,28.5,7.8,184,cofid-2021
cofid,18-024,"Beef, flank, raw, lean",en,,6 samples MAC,100,g,0,22.7,9.3,175,cofid-2021
cofid,18-025,"Beef, flank, raw, lean and fat",en,,Calculated from 76% lean and 23% fat MAC,100,g,0,19.7,20.8,266,cofid-2021
cofid,18-026,"Beef, flank, pot-roasted, lean",en,,6 samples MAC,100,g,0,31.8,14,253,cofid-2021
cofid,18-027,"Beef, flank, pot-roasted, lean and fat",en,,Calculated from 76% lean and 21% fat MAC,100,g,0,27.1,22.3,309,cofid-2021
cofid,18-028,"Beef, fore-rib/rib-roast, raw, lean",en,,10 samples MAC,100,g,0,21.5,6.5,145,cofid-2021
cofid,18-029,"Beef, fore-rib/rib-roast, raw, lean and fat",en,,Calculated from 75% lean and 25% fat MAC,100,g,0,18.8,19.8,253,cofid-2021
cofid,18-030,"Beef, fore-rib/rib-roast, microwaved, lean",en,,10 samples MAC,100,g,0,35,11.4,243,cofid-2021
cofid,18-031,"Beef, fore-rib/rib-roast, microwaved, lean and fat",en,,Calculated from 78% lean and 22% fat MAC,100,g,0,30.4,20.5,306,cofid-2021
cofid,18-032,"Beef, fore-rib/rib-roast, microwaved, lean and fat, weighed with bone",en,,Calculated from 18-031 MAC,100,g,0,25.2,17,254,cofid-2021
cofid,18-033,"Beef, fore-rib/rib-roast, roasted, lean",en,,10 samples MAC,100,g,0,33.3,11.4,236,cofid-2021
cofid,18-034,"Beef, fore-rib/rib-roast, roasted, lean and fat",en,,Calculated from 78% lean and 22% fat MAC,100,g,0,29.1,20.4,300,cofid-2021
cofid,18-035,"Beef, fore-rib/rib-roast, roasted, lean and fat, weighed with bone",en,,Calculated from 18-034 MAC,100,g,0,24.4,17.1,252,cofid-2021
cofid,18-037,"Beef, mince, microwaved",en,,10 samples MAC,100,g,0,26.4,17.5,263,cofid-2021
cofid,18-039,"Beef, mince, frozen, stewed",en,,10 samples. Covered with 1/2 pt water per lb meat and simmered for 1 hour MAC,100,g,0,19.3,14.1,204,cofid-2021
cofid,18-042,"Beef, mince patties, barbecued",en,,10 samples MAC,100,g,0,29.6,16.2,264,cofid-2021
cofid,18-043,"Beef, rump steak, raw, lean",en,,10 samples MAC,100,g,0,22,4.1,125,cofid-2021
cofid,18-045,"Beef, rump steak, barbecued, lean",en,,10 samples MAC,100,g,0,31.2,5.7,176,cofid-2021
cofid,18-046,"Beef, rump steak, barbecued, lean and fat",en,,Calculated from 91% lean and 8% fat MAC,100,g,0,29.5,9.4,203,cofid-2021
cofid,18-050,"Beef, rump steak, from steakhouse, lean only",en,,10 samples MAC,100,g,0,29.8,4.7,162,cofid-2021
